gene,F_score,p_value,DH_ex_Sox5_mean,DH_ex_Sox5/Tac1_mean,mean_difference
Calcrl,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Adamts2,0.12336742722265971,0.726333903319685,0.041666666666666664,0.058823529411764705,-0.01715686274509804
Sema4c,0.09565584400110123,0.757910516567936,0.14583333333333334,0.17647058823529413,-0.030637254901960786
Grik3,0.08654686930452701,0.7693758385202767,0.16666666666666666,0.11764705882352941,0.04901960784313725
Nrgn,0.08314436343590655,0.7738264105682693,1.1875,1.5588235294117647,-0.3713235294117647
Hrh1,0.08281916435463248,0.7742569134711991,0.041666666666666664,0.029411764705882353,0.012254901960784312
Sst,0.0736827294461928,0.7867475435369393,4.416666666666667,5.705882352941177,-1.2892156862745097
Pcdhb16,0.07210242512054235,0.7889911140883363,0.10416666666666667,0.08823529411764706,0.015931372549019607
Col23a1,0.0653958189336895,0.7988187448787961,0.08333333333333333,0.058823529411764705,0.024509803921568624
Gabrg3,0.050653863971324826,0.8225032902169223,0.125,0.14705882352941177,-0.02205882352941177
Grik1,0.0479864959249812,0.8271626295358966,0.8333333333333334,0.9117647058823529,-0.07843137254901955
Hcrtr1,0.0475509479507482,0.8279362339003955,0.0625,0.08823529411764706,-0.025735294117647065
Pcdha11,0.0475509479507482,0.8279362339003955,0.0625,0.08823529411764706,-0.025735294117647065
Bdnf,0.02240254791449824,0.8813978853794348,0.1875,0.20588235294117646,-0.01838235294117646
Pcdha7,0.010819480491716217,0.9174163997179895,0.10416666666666667,0.08823529411764706,0.015931372549019607
Sema6c,0.005976170022037647,0.9385733814583141,0.08333333333333333,0.08823529411764706,-0.004901960784313736
Chat,0.004583914280802733,0.9461897093412159,0.0625,0.058823529411764705,0.003676470588235295
Pcdhb9,0.004583914280802733,0.9461897093412159,0.0625,0.058823529411764705,0.003676470588235295
Jag2,0.003279081375345277,0.9544782692961115,0.22916666666666666,0.23529411764705882,-0.006127450980392163
Prkcg,0.001604892485148035,0.9681442163112269,0.2708333333333333,0.2647058823529412,0.006127450980392135
Pcdhgc5,0.0006998110318105464,0.9789611482130214,0.1875,0.17647058823529413,0.011029411764705871
Grid1,0.0004593845738102237,0.9829534120160571,0.7291666666666666,0.7352941176470589,-0.006127450980392246
Plxnb2,0.00029975222010940203,0.9862297392752319,0.10416666666666667,0.11764705882352941,-0.013480392156862739
Sema6d,1.0451065592492143e-05,0.9974286425837567,1.7083333333333333,1.588235294117647,0.12009803921568629
