model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group
RandomForest,1,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,1,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
LogisticRegression,2,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
RandomForest,2,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,2,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
LogisticRegression,3,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
RandomForest,3,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,3,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
LogisticRegression,5,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
RandomForest,5,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,5,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
LogisticRegression,10,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
RandomForest,10,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
ExtraTrees,10,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
RandomForest,20,0.9875,0.024999999999999998,0.9888888888888889,0.022222222222222233,0.987450980392157,0.025098039215686273,5,excitatory
