model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
ExtraTrees,1,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
LogisticRegression,2,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,2,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,3,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,10,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,20,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,40,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
ExtraTrees,2,0.9636363636363636,0.07272727272727271,0.9714285714285715,0.05714285714285712,0.9633333333333333,0.07333333333333333,5,excitatory,1
LogisticRegression,3,0.9636363636363636,0.07272727272727271,0.9714285714285715,0.05714285714285712,0.9633333333333333,0.07333333333333333,5,excitatory,1
ExtraTrees,3,0.9636363636363636,0.07272727272727271,0.9714285714285715,0.05714285714285712,0.9633333333333333,0.07333333333333333,5,excitatory,1
RandomForest,5,0.9636363636363636,0.07272727272727271,0.9714285714285715,0.05714285714285712,0.9633333333333333,0.07333333333333333,5,excitatory,1
ExtraTrees,5,0.9636363636363636,0.07272727272727271,0.9714285714285715,0.05714285714285712,0.9633333333333333,0.07333333333333333,5,excitatory,1
LogisticRegression,5,0.9454545454545455,0.07272727272727272,0.9514285714285714,0.06101187572589318,0.9445299145299145,0.07357400786723159,5,excitatory,1
LogisticRegression,10,0.9454545454545455,0.07272727272727272,0.9514285714285714,0.06101187572589318,0.9445299145299145,0.07357400786723159,5,excitatory,1
ExtraTrees,10,0.9454545454545455,0.07272727272727272,0.9514285714285714,0.06101187572589318,0.9445299145299145,0.07357400786723159,5,excitatory,1
ExtraTrees,20,0.9454545454545455,0.07272727272727272,0.9514285714285714,0.06101187572589318,0.9445299145299145,0.07357400786723159,5,excitatory,1
ExtraTrees,40,0.9272727272727274,0.06803013430498074,0.9314285714285713,0.05813425699821656,0.9257264957264957,0.06885749321695936,5,excitatory,1
LogisticRegression,20,0.9090909090909092,0.09958591954639383,0.9123809523809523,0.09780354226621135,0.9078477078477079,0.09959755868442494,5,excitatory,1
LogisticRegression,40,0.8363636363636363,0.16663911618021238,0.8273809523809523,0.17168301223284266,0.8274114774114775,0.17275110760048476,5,excitatory,1
