model,number_of_genes,accuracy,accuracy_sd,balanced_accuracy,balanced_accuracy_sd,macro_f1,macro_f1_sd,section,ei_group,outer_fold
RandomForest,2,0.8128205128205128,0.15030103476669585,0.7611111111111111,0.14969103983674975,0.7713888888888889,0.15466910119412194,3,excitatory,1
RandomForest,3,0.8128205128205128,0.12445806255909328,0.7611111111111111,0.13676148472323524,0.7686082854194309,0.1379045403277985,3,excitatory,1
ExtraTrees,2,0.826923076923077,0.10462669622104187,0.75,0.13721210039142745,0.7653216374269005,0.1360305570010471,3,excitatory,1
ExtraTrees,3,0.8282051282051283,0.10179196533989338,0.7499999999999999,0.13028932666176193,0.765797827903091,0.12576011508543442,3,excitatory,1
LogisticRegression,5,0.8128205128205128,0.10371153033926504,0.7388888888888888,0.13217085837078135,0.7504845446950709,0.12734418241537257,3,excitatory,1
RandomForest,1,0.75,0.12897206502522351,0.7027777777777778,0.15,0.6925742051206447,0.1402982973713984,3,excitatory,1
ExtraTrees,1,0.75,0.12897206502522351,0.7027777777777778,0.15,0.6925742051206447,0.1402982973713984,3,excitatory,1
ExtraTrees,5,0.7628205128205128,0.08714177163059707,0.6833333333333332,0.09060836905722269,0.6963324979114452,0.10467979738202354,3,excitatory,1
LogisticRegression,1,0.9743589743589745,0.03626188621469472,0.986111111111111,0.01964185503295969,0.9371980676328503,0.08881534449686102,4,inhibitory,1
RandomForest,2,0.9487179487179488,0.03626188621469472,0.8194444444444443,0.22652092264305682,0.763864734299517,0.2149551528878518,4,inhibitory,1
LogisticRegression,2,0.923076923076923,1.1102230246251565e-16,0.8055555555555555,0.21606040536255616,0.7010628019323671,0.15631500631447548,4,inhibitory,1
RandomForest,10,0.9487179487179488,0.03626188621469472,0.6666666666666666,0.23570226039551584,0.6533333333333333,0.2451303508113365,4,inhibitory,1
RandomForest,40,0.9487179487179488,0.03626188621469472,0.6666666666666666,0.23570226039551584,0.6533333333333333,0.2451303508113365,4,inhibitory,1
RandomForest,1,0.923076923076923,0.06280742930213278,0.6527777777777778,0.24611173814818546,0.6461111111111111,0.2503935174485292,4,inhibitory,1
ExtraTrees,1,0.923076923076923,1.1102230246251565e-16,0.6527777777777778,0.21606040536255616,0.5905314009661836,0.15631500631447548,4,inhibitory,1
ExtraTrees,2,0.923076923076923,1.1102230246251565e-16,0.6527777777777778,0.21606040536255616,0.5905314009661836,0.15631500631447548,4,inhibitory,1
ExtraTrees,3,0.923076923076923,1.1102230246251565e-16,0.6527777777777778,0.21606040536255616,0.5905314009661836,0.15631500631447548,4,inhibitory,1
RandomForest,5,0.923076923076923,1.1102230246251565e-16,0.6527777777777778,0.21606040536255616,0.5905314009661836,0.15631500631447548,4,inhibitory,1
ExtraTrees,5,0.923076923076923,1.1102230246251565e-16,0.6527777777777778,0.21606040536255616,0.5905314009661836,0.15631500631447548,4,inhibitory,1
LogisticRegression,3,0.8974358974358975,0.036261886214694776,0.6388888888888888,0.22652092264305676,0.5833091787439614,0.16166405558246855,4,inhibitory,1
LogisticRegression,5,0.8974358974358975,0.036261886214694776,0.6388888888888888,0.22652092264305676,0.5833091787439614,0.16166405558246855,4,inhibitory,1
ExtraTrees,10,0.923076923076923,1.1102230246251565e-16,0.5,0.0,0.48,0.0,4,inhibitory,1
RandomForest,20,0.923076923076923,1.1102230246251565e-16,0.5,0.0,0.48,0.0,4,inhibitory,1
ExtraTrees,20,0.923076923076923,1.1102230246251565e-16,0.5,0.0,0.48,0.0,4,inhibitory,1
ExtraTrees,40,0.923076923076923,1.1102230246251565e-16,0.5,0.0,0.48,0.0,4,inhibitory,1
RandomForest,3,0.8974358974358975,0.036261886214694776,0.4861111111111111,0.019641855032959663,0.47277777777777774,0.01021376461713902,4,inhibitory,1
LogisticRegression,40,0.8974358974358975,0.036261886214694776,0.4861111111111111,0.019641855032959663,0.47277777777777774,0.01021376461713902,4,inhibitory,1
LogisticRegression,20,0.8717948717948718,0.036261886214694776,0.47222222222222215,0.019641855032959663,0.4655555555555555,0.01021376461713902,4,inhibitory,1
LogisticRegression,10,0.8461538461538461,0.06280742930213278,0.4583333333333333,0.03402069087198858,0.4577053140096618,0.018465263339503286,4,inhibitory,1
LogisticRegression,1,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
RandomForest,1,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.9811965811965813,0.037606837606837605,5,excitatory,1
