gene,F_score,p_value,MV_in_Esrrb_mean,MV_ex_Syt2_mean,mean_difference
Calb1,3.197897294856016,0.07547303755938217,0.015873015873015872,0.09734513274336283,-0.08147211687034696
Pcdhga8,3.154427772452184,0.07746890707223425,0.015873015873015872,0.10619469026548672,-0.09032167439247085
Htr1d,3.0886981648417984,0.0805964792808671,0.015873015873015872,0.07964601769911504,-0.06377300182609917
Ccn2,2.991303457557255,0.08548615780222844,0.15873015873015872,0.4247787610619469,-0.2660486023317882
Gpc3,2.8835227272727275,0.09127761905154054,0.0,0.04424778761061947,-0.04424778761061947
Chrna6,2.8835227272727275,0.09127761905154054,0.0,0.04424778761061947,-0.04424778761061947
Ghrl,2.8835227272727275,0.09127761905154054,0.0,0.04424778761061947,-0.04424778761061947
Pcdha11,2.7758730529460225,0.09749368777752801,0.047619047619047616,0.18584070796460178,-0.13822166034555416
Sstr2,2.7717423210381216,0.09774129687436786,0.07936507936507936,0.24778761061946902,-0.16842253125438966
Foxp2,2.756944716411003,0.09863400532055364,0.0,0.05309734513274336,-0.05309734513274336
Pcdhga10,2.658591203984091,0.10480072462880431,0.031746031746031744,0.10619469026548672,-0.07444865851945498
Pthlh,2.58246302854698,0.10986655642249948,0.015873015873015872,0.07964601769911504,-0.06377300182609917
Adora2b,2.5221726113722056,0.11407128875576977,0.015873015873015872,0.07079646017699115,-0.05492344430397528
Ptgds,2.516825227000227,0.11445276710282586,0.9523809523809523,1.4601769911504425,-0.5077960387694902
Pitx2,2.489229897277785,0.11644409119697026,0.047619047619047616,0.13274336283185842,-0.0851243152128108
Sema4d,2.2922924657675847,0.13183210087721578,0.06349206349206349,0.1504424778761062,-0.08695041438404272
Prkcg,2.1680275477767843,0.14271336275556487,0.09523809523809523,0.21238938053097345,-0.11715128529287822
Pcdhb16,2.1192010675078032,0.14726430327086634,0.14285714285714285,0.25663716814159293,-0.11378002528445008
Pth1r,2.10333783109376,0.1487781880903449,0.047619047619047616,0.1415929203539823,-0.09397387273493468
Sst,2.06005802221558,0.1529995266893976,0.36507936507936506,0.6106194690265486,-0.24554010394718356
Chrne,1.9787441312965937,0.1613063116852343,0.015873015873015872,0.061946902654867256,-0.046073886781851384
Htr4,1.7640140700086226,0.1858641270119138,0.07936507936507936,0.1592920353982301,-0.07992695603315073
Pcdhgb4,1.719846022364056,0.19144072136377174,0.19047619047619047,0.34513274336283184,-0.15465655288664137
Mc4r,1.6825553336556347,0.19630254637308645,0.015873015873015872,0.07964601769911504,-0.06377300182609917
Chat,1.6480374775056827,0.2009331586399939,0.047619047619047616,0.40707964601769914,-0.3594605983986515
Calcb,1.6315463483434836,0.20319103661358215,0.047619047619047616,0.11504424778761062,-0.067425200168563
Htr1f,1.6315463483434829,0.20319103661358223,0.047619047619047616,0.11504424778761062,-0.067425200168563
Dbh,1.5801141517992128,0.2104289756672863,0.031746031746031744,0.07964601769911504,-0.0478999859530833
Slc6a4,1.5597420307087213,0.21338060452152066,0.015873015873015872,0.061946902654867256,-0.046073886781851384
Cfap43,1.559742030708721,0.21338060452152074,0.015873015873015872,0.061946902654867256,-0.046073886781851384
Penk,1.5549330539805362,0.21408456084653715,0.49206349206349204,0.8672566371681416,-0.3751931451046496
Pcdhb12,1.5496870989630138,0.21485565615760255,0.047619047619047616,0.11504424778761062,-0.067425200168563
Oprm1,1.5159825928496307,0.21989004688191421,0.1111111111111111,0.23008849557522124,-0.11897738446411013
P2ry1,1.4959612789656132,0.2229477472347137,0.047619047619047616,0.10619469026548672,-0.05857564264643911
Hrh1,1.4630993137562927,0.22807848204738926,0.015873015873015872,0.05309734513274336,-0.03722432925972749
Tfap2b,1.4630993137562927,0.22807848204738926,0.015873015873015872,0.05309734513274336,-0.03722432925972749
Htr3b,1.4630993137562927,0.22807848204738926,0.015873015873015872,0.05309734513274336,-0.03722432925972749
Gabrg3,1.4256212849104926,0.2341056044674968,0.06349206349206349,0.13274336283185842,-0.06925129933979493
Plxnc1,1.3356147055151695,0.2493932548426814,0.06349206349206349,0.12389380530973451,-0.06040174181767102
Chrm4,1.306690065309625,0.25456515523752365,0.047619047619047616,0.017699115044247787,0.02991993257479983
Agtr1b,1.2751280165971823,0.26036124883904527,0.031746031746031744,0.07964601769911504,-0.0478999859530833
Htr2a,1.233063222116701,0.26834430971341566,0.09523809523809523,0.17699115044247787,-0.08175305520438264
Bnc2,1.1359917551476937,0.2879775823373863,0.14285714285714285,0.24778761061946902,-0.10493046776232617
Ramp2,1.1065203827701036,0.2942982513799986,0.07936507936507936,0.1592920353982301,-0.07992695603315073
Aif1,1.0973078265667218,0.29631058709333696,0.015873015873015872,0.05309734513274336,-0.03722432925972749
Plxnd1,1.0973078265667218,0.29631058709333696,0.015873015873015872,0.05309734513274336,-0.03722432925972749
Ctss,1.0115192397256894,0.31593573198269886,0.09523809523809523,0.05309734513274336,0.04214075010535187
Npy4r,0.9832866519236153,0.3227656755028301,0.015873015873015872,0.04424778761061947,-0.028374771737603596
Npffr2,0.9832866519236153,0.3227656755028301,0.015873015873015872,0.04424778761061947,-0.028374771737603596
Nrgn,0.9832866519236153,0.3227656755028301,0.015873015873015872,0.04424778761061947,-0.028374771737603596
Plxnb2,0.9035532445132903,0.34314919449902803,0.07936507936507936,0.11504424778761062,-0.03567916842253126
Vgf,0.7497487399859323,0.3877481252596822,3.7301587301587302,4.088495575221239,-0.3583368450625084
Pcdhgc5,0.6772647994818638,0.4116566114828582,0.07936507936507936,0.1504424778761062,-0.07107739851102685
Adra2a,0.6280616219764119,0.4291464073676587,0.06349206349206349,0.11504424778761062,-0.05155218429554713
Pcdha1,0.6123847282376896,0.4349550219935652,0.06349206349206349,0.1415929203539823,-0.07810085686191881
Pcdha7,0.5616180674102711,0.4546210133544531,0.06349206349206349,0.10619469026548672,-0.042702626773423236
Sstr3,0.5547047337037754,0.4574064424229291,0.19047619047619047,0.26548672566371684,-0.07501053518752637
Ghsr,0.5540825892503962,0.4576584326910487,0.015873015873015872,0.035398230088495575,-0.019525214215479703
Nmu,0.5540825892503962,0.4576584326910487,0.015873015873015872,0.035398230088495575,-0.019525214215479703
Sim1,0.5540825892503962,0.4576584326910487,0.015873015873015872,0.035398230088495575,-0.019525214215479703
Grik1,0.5319453998871163,0.4667707547343093,0.3333333333333333,0.4424778761061947,-0.1091445427728614
Mc5r,0.4211803832691862,0.5172043124428445,0.031746031746031744,0.05309734513274336,-0.021351313386711618
Pcdhb3,0.4125025051373769,0.5215473616278893,0.047619047619047616,0.08849557522123894,-0.04087652760219132
Pax6,0.40542865023874786,0.5251356961948098,0.09523809523809523,0.17699115044247787,-0.08175305520438264
Drd5,0.3953121069362181,0.5303447660999312,0.09523809523809523,0.05309734513274336,0.04214075010535187
Hcrtr1,0.37124146289705084,0.5431230850493424,0.09523809523809523,0.12389380530973451,-0.02865571007163928
Pcdha9,0.34882829889473393,0.5555434943943294,0.047619047619047616,0.07964601769911504,-0.03202697008006743
Pcdhb18,0.3305027507818283,0.5661057908218322,0.07936507936507936,0.10619469026548672,-0.026829610900407364
Uts2r,0.3244123926294479,0.5697025332245217,0.12698412698412698,0.07964601769911504,0.047338109285011934
Pmfbp1,0.3098136300350921,0.5785097365785418,0.1111111111111111,0.09734513274336283,0.013765978367748274
Dll1,0.3046746790944766,0.5816747966661298,0.1111111111111111,0.168141592920354,-0.05703048180924289
Cyp27a1,0.28118821034455554,0.5965995351970799,0.07936507936507936,0.09734513274336283,-0.01798005337828347
Rorb,0.27801534354617435,0.5986766256057308,0.19047619047619047,0.23008849557522124,-0.03961230509903077
Pcdhga11,0.25953225068645935,0.6110871742457468,0.15873015873015872,0.21238938053097345,-0.05365922180081473
Plxnb1,0.19553728908923343,0.6588965260372804,0.1746031746031746,0.19469026548672566,-0.020087090883551068
Pcdhb4,0.16380765251984541,0.6861719325926743,0.031746031746031744,0.04424778761061947,-0.012501755864587724
Tac4,0.15652168332420566,0.692863969023062,0.047619047619047616,0.035398230088495575,0.012220817530552042
Chrm3,0.15645428323033578,0.6929267091254134,0.06349206349206349,0.08849557522123894,-0.02500351172917545
Cdh19,0.14219278270734353,0.7065702422780515,0.12698412698412698,0.168141592920354,-0.04115746593622702
Npas4,0.12621669518992537,0.7228176950540942,0.047619047619047616,0.04424778761061947,0.003371260008428148
Gabrq,0.08697290619270111,0.7684129164295623,0.06349206349206349,0.07964601769911504,-0.016153954207051555
Mc2r,0.07553942753121351,0.7837618762628265,0.031746031746031744,0.04424778761061947,-0.012501755864587724
Dlk1,0.07000706294546911,0.7916396489515256,1.0476190476190477,1.1592920353982301,-0.11167298777918244
Prox1,0.06611529368649528,0.7973830426529248,0.12698412698412698,0.1504424778761062,-0.02345835089197923
Pcdhb11,0.04616755274377207,0.8301231360455171,0.15873015873015872,0.13274336283185842,0.025986795898300302
Apela,0.03914400687812979,0.8433945912195567,0.031746031746031744,0.02654867256637168,0.005197359179660063
Pomc,0.033588891884114534,0.8547974174238422,0.06349206349206349,0.07079646017699115,-0.007304396684927661
Fev,0.016200081975523025,0.8988661226826715,0.031746031746031744,0.035398230088495575,-0.0036521983424638305
Pvalb,0.015385397738526721,0.9014284479761611,6.079365079365079,8.469026548672566,-2.3896614693074874
